taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4266878	Saguinus nigricollis nigricollis	8993021	Leontocebus nigricollis nigricollis	5	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus nigricollis	8628111	LC
5219532	Pongo pygmaeus (Linnaeus, 1760)	5219532	Pongo pygmaeus (Linnaeus, 1760)	166	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Hominidae	5483	Pongo	5219531	Pongo pygmaeus	5219532	CR
2436652	Alouatta caraya (Humboldt, 1812)	2436652	Alouatta caraya (Humboldt, 1812)	379	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta caraya	2436652	NT
4267236	Alouatta nigerrima Lönnberg, 1941	4267236	Alouatta nigerrima Lönnberg, 1941	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Atelidae	3239607	Alouatta	2436647	Alouatta nigerrima	4267236	LC
5219577	Cercopithecus erythrotis Waterhouse, 1838	5219577	Cercopithecus erythrotis Waterhouse, 1838	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus erythrotis	5219577	VU
5786422	Lepilemur petteri Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo et al., 2006	5786422	Lepilemur petteri Louis Jr., Engberg, Lei, Geng, Sommer, Randriamampionona, Randriamanana, Zaonarivelo et al., 2006	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Lepilemuridae	4266927	Lepilemur	2436489	Lepilemur petteri	5786422	EN
6075604	Colobus guereza percivali Heller, 1913	6075604	Colobus guereza percivali Heller, 1913	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus guereza	5963045	EN
4266903	Saimiri sciureus albigena (Pusch, 1942)	9190676	Saimiri cassiquiarensis albigena (Pusch, 1942)	2	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri cassiquiarensis	7576788	VU
4267141	Macaca assamensis assamensis	4267141	Macaca assamensis assamensis	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Macaca	2436602	Macaca assamensis	2436610	NT
5786442	Saguinus nigricollis graellsi (Jiménez de la Espada, 1870)	9147205	Leontocebus nigricollis graellsi (Jiménez de la Espada, 1870)	22	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Callitrichidae	9620	Leontocebus	5428933	Leontocebus nigricollis	8628111	NT
7262025	Trachypithecus auratus auratus	9204783	Trachypithecus auratus (É.Geoffroy Saint-Hilaire, 1812)	12	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus auratus	9204783	VU
9263123	Paragalago orinus (Lawrence & Washburn, 1936)	9263123	Paragalago orinus (Lawrence & Washburn, 1936)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Galagidae	3239554	Paragalago	9553756	Paragalago orinus	9263123	VU
5707307	Chiropotes chiropotes (Humboldt, 1811)	5707307	Chiropotes chiropotes (Humboldt, 1811)	10	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Pitheciidae	5486	Chiropotes	2436405	Chiropotes chiropotes	5707307	LC
2436660	Saimiri vanzolinii Ayres, 1985	2436660	Saimiri vanzolinii Ayres, 1985	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri vanzolinii	2436660	EN
4266898	Saimiri oerstedii oerstedii	4266898	Saimiri oerstedii oerstedii	21	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Saimiri	2436659	Saimiri oerstedii	2436664	EN
7519053	Sapajus nigritus (Goldfuss, 1809)	7519053	Sapajus nigritus (Goldfuss, 1809)	510	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cebidae	9621	Sapajus	4827386	Sapajus nigritus	7519053	NT
4267090	Trachypithecus obscurus halonifer (Cantor, 1845)	4267090	Trachypithecus obscurus halonifer (Cantor, 1845)	7	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Trachypithecus	2436533	Trachypithecus obscurus	2436535	EN
5219569	Cercopithecus ascanius (Audebert, 1799)	5219569	Cercopithecus ascanius (Audebert, 1799)	40	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus ascanius	5219569	LC
5707363	Cercopithecus mitis boutourlinii Giglioli, 1887	5707363	Cercopithecus mitis boutourlinii Giglioli, 1887	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Cercopithecus	2436567	Cercopithecus mitis	5219578	VU
6100690	Colobus guereza gallarum Neumann, 1902	6100690	Colobus guereza gallarum Neumann, 1902	23	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Primates	798	Cercopithecidae	9622	Colobus	5963043	Colobus guereza	5963045	DD
